id;name;x;y;province
89;Neuhausen auf den Fildern;-362257.995875261374749;5458706.861587231047451;Germania Superior
90;Neumagen;-494113.805616978090256;5397219.015460155904293;Germania Superior
91;Koblenz;-453165.489964989596047;5664074.654889797791839;Germania Superior
92;Eisenberg;-281397.886818451108411;5325577.621401067823172;Raetia
93;Rosbach von der Höhe;-373545.796521836542524;5644538.034327384084463;Germania Superior
94;Bingerbrück;-439114.693759676185437;5617824.204701564274728;Germania Superior
95;Dahlheim;-447550.250083416001871;5647415.308748076669872;Germania Superior
96;Altkalkar;-513590.307217067107558;5834588.326435076072812;Germania Inferior
97;Oberweningen;-447729.388347000698559;5338892.236248029395938;Germania Superior
98;Butzbach;-377428.684727124171332;5658716.086385830305517;Germania Superior
99;Künzing;-84608.406237846822478;5419402.912364128045738;Raetia
100;Theilenhofen;-241351.641460875747725;5486244.650182483717799;Raetia
101;Hüchelhoven;-502239.81453554390464;5749654.225257409736514;Germania Inferior
102;Stolberg;-539302.336661212495528;5729506.613518972881138;Germania Inferior
103;Bad Kreuznach;-442107.836209947010502;5604440.107203358784318;Germania Superior
104;Miltenberg;-346825.092900985153392;5570688.964830927550793;Germania Superior
105;Newel;-533700.060336282826029;5617771.570480332709849;Belgica
106;Hochscheid;-488323.825765294488519;5614723.991514794528484;Belgica
107;Baden-Baden;-437533.780204925336875;5478618.482019557617605;Germania Superior
108;Bingen;-372005.124913809588179;5396443.802296565845609;Raetia
109;Oberflorstadt;-361864.404556905501522;5645534.021059872582555;Germania Superior
110;Ensch;-517934.926874797209166;5617002.330804599449039;Belgica
111;Freisen;-493975.371513785328716;5578811.733560739085078;Belgica
112;Fliessem;-533682.522473389864899;5642206.276711011305451;Belgica
113;Emerkingen;-342586.11607637850102;5401929.851349081844091;Raetia
114;Speyer;-411797.550768234068528;5540462.483402423560619;Germania Superior
115;Château Rousillon;-980032.018668596865609;4889603.530421681702137;Narbonensis
116;Port-Vendres;-972103.431506719207391;4863631.910226471722126;Narbonensis
117;Lansargues;-865341.576071755494922;4972779.431051493622363;Narbonensis
118;Gaujac;-1160420.139811484608799;5143404.16954084765166;Aquitania
119;Murviel-lès-Montpellier;-893698.090593480039388;4975549.344697584398091;Narbonensis
120;Chester;-1083293.768790069269016;6165894.85249424725771;Britannia
121;Cirencester;-1076201.681062434567139;5985621.387827227823436;Britannia
122;London;-955534.176713001448661;5921032.25106830522418;Britannia
123;Edinburgh;-865236.498145869001746;5867415.458208695985377;Britannia
124;Chicester;-1025696.772377235814929;5861141.419156942516565;Britannia
125;Caerleon;-1146543.752807740587741;5995036.126398595049977;Britannia
126;Lincoln;-926993.142967737978324;6117472.832667245529592;Britannia
127;Loughor;-1219225.958513411926106;6027004.360149698331952;Britannia
128;Wroxeter;-1086155.860895010642707;6102062.588365221396089;Britannia
129;Caerhûn;-1142035.388036302989349;6189248.683772114105523;Britannia
130;Fishtoft;-899454.913020108593628;6075088.664229123853147;Britannia
131;Corbridge;-959109.411141791613773;6336532.952062075957656;Britannia
132;Bishopbriggs;-1057437.861397546716034;6486603.903535456396639;Caledonia
133;Dalkeith;-988621.904666480142623;6456373.669412815012038;Caledonia
134;York;-936866.068467551842332;6208531.925492644309998;Britannia
135;Exeter;-1220579.718175309710205;5909605.903043307363987;Britannia
136;Leicester;-987269.022218692116439;6064838.388048730790615;Britannia
137;Musselburgh;-984974.702048252802342;6463151.133670683018863;Caledonia
138;Warrington;-1055790.165089885005727;6178472.980082528665662;Britannia
139;Carlisle;-1019166.01776294852607;6347771.269741504453123;Britannia
140;Brecon;-1162214.801426603924483;6041608.39580109808594;Britannia
141;Colchester;-876175.305491333827376;5941478.429407497867942;Britannia
142;St. Albans;-955595.33982240431942;5959109.641420888714492;Britannia
143;Ribchester;-1035695.104283595224842;6221994.553431840613484;Britannia
144;Bardon Mill;-978749.816957573639229;6343418.251443796791136;Britannia
145;Winterton;-916940.830754016293213;6164127.677800500765443;Britannia
146;Southwark;-955335.120903909672052;5919273.734628792852163;Britannia
147;Winchester;-1056206.197559542721137;5892734.203894072212279;Britannia
148;Silchester;-1027506.4505318722222;5923648.718506422825158;Britannia
149;Bishop Auckland;-949054.410682941088453;6294833.497265391051769;Britannia
150;Daventry;-1002941.974825471639633;6023857.508667162619531;Britannia
151;Caerwent;-1133676.474959392799065;5990168.429879657924175;Britannia
152;Eynsford;-939739.406625914620236;5896747.194547877646983;Britannia
153;Chesters;-965493.442828931612894;6344810.318846063688397;Britannia
154;Gloucester;-1090534.609996974468231;6002523.13714490365237;Britannia
155;Peterborough;-930458.644349758047611;6040895.542568877339363;Britannia
156;Credenhill;-1117484.417173478752375;6044115.931661637499928;Britannia
157;Great Chesters;-984310.79803587612696;6347408.216447704471648;Britannia
158;Falkirk;-1025329.698902824660763;6486477.829978043213487;Caledonia
159;Southampton;-1066016.28835718287155;5881839.25967759732157;Britannia
160;Tayside;-994435.114004039904103;6525722.48399206250906;Caledonia
161;Heptonstall;-1004487.391841325443238;6205107.732160319574177;Britannia
162;Canterbury;-882929.136258799349889;5870413.34322567936033;Britannia
163;Caernarfon;-1172762.883063697023317;6192560.619873288087547;Britannia
164;Lancaster;-1044595.74304489674978;6257550.651236052624881;Britannia
165;Newstead;-977451.949259127257392;6113705.919235673733056;Britannia
166;Rochester;-918126.96082018665038;5894350.635895855724812;Britannia
167;Abergavenny;-1142097.501500316197053;6020265.921255414374173;Britannia
168;Manchester;-1026648.164762641768903;6182481.935049943625927;Britannia
169;Sandy;-948362.46652360400185;5990709.86653829459101;Britannia
170;Rocester;-1022012.896205448778346;6114417.94233784172684;Britannia
171;Newcastle upon Tyne;-933657.639832690590993;6330344.859255822375417;Britannia
172;Aldborough;-951822.032518743071705;6227503.899980738759041;Britannia
173;Westmill;-935939.492331067798659;5963071.402388641610742;Britannia
174;Abernethy;-985937.986247496679425;6512319.201469335705042;Caledonia
175;Ardoch house;-1021039.950950571801513;6515488.315759472548962;Caledonia
176;Dalswinton;-1053825.802677251631394;6393155.999995094724;Caledonia
177;Mildenhall;-1068362.291874863905832;5944816.349371298216283;Britannia
