id;lat;long;type;site;code
14553;7.45071599999999989;50.4171869999999984;Dressel 20;Weißenthurm;CIVNREBVRI
16722;-2.88333299999999992;53.0666670000000025;Dressel 20;Holt;RRVS
23856;4.48594999999999988;47.5378540000000029;Dressel 20;Alise-Sainte-Reine;PONTICI
1907;12.483333;41.8999999999999986;Dressel 20;Roma;DOM
21442;0.340204000000000006;44.2989340000000027;Dressel 20;Aiguillon;ROMANI
37622;-6.49424699999999966;34.3342839999999967;Dressel 20;Sidi Ali ben ahmed (Thamusida);PORTARVA
1147;12.483333;41.8999999999999986;Dressel 20;Roma;PTAN
12980;-5.6669419999999997;37.6150579999999977;Dressel 20;Alcolea del Río;CANNIRVFINI
28093;-5.6669419999999997;37.6150579999999977;Dressel 20;Alcolea del Río;LQS
454;12.483333;41.8999999999999986;Dressel 20;Roma;LFC
15404;-3.06666699999999981;55.8666669999999996;Dressel 20;Dalkeith;QAG
2286;12.483333;41.8999999999999986;Dressel 20;Roma;LFFV
28568;12.483333;41.8999999999999986;Dressel 20;Roma;ASVL
16305;-0.25;51.8333330000000032;Dressel 20;St. Albans;MLFN
13611;-5.64608299999999996;37.4712480000000028;Dressel 20;Carmona;LSPBO
18672;-5.55703200000000042;34.0736970000000028;Dressel 20;Volubilis;ACIRGI
39626;4.6363310000000002;43.6816590000000033;Dressel 20;Arles;PSAVITI
26735;-5.23333300000000001;37.8333330000000032;Dressel 20;Hornachuelos;LFC
16555;-2.01666699999999999;54.9666670000000011;Dressel 20;Corbridge;DOM
24796;4.87345299999999959;45.5247850000000014;Dressel 20;Vienne;LFO
14963;9.36379499999999965;48.6834490000000031;Dressel 20;Köngen;CVIV
2728;12.483333;41.8999999999999986;Dressel 20;Roma;LIM
491;12.483333;41.8999999999999986;Dressel 20;Roma;GFS
28258;12.2833330000000007;41.75;Dressel 20;Ostia Antica;PNPHI
28390;12.2833330000000007;41.75;Dressel 20;Ostia Antica;LIM
4336;12.483333;41.8999999999999986;Dressel 20;Roma;CTYC
15864;-2.93333300000000019;54.8833330000000004;Dressel 20;Carlisle;SCLT
3043;12.483333;41.8999999999999986;Dressel 20;Roma;ALFO
15973;-2.01666699999999999;54.9666670000000011;Dressel 20;Corbridge;LFC
7644;7.71720499999999987;47.5368179999999967;Dressel 20;Augst;LVALERITROPHIMI
8801;-6.11581799999999998;34.6014399999999966;Dressel 20;Banasa;GAF
28279;12.483333;41.8999999999999986;Dressel 20;Roma;QND
39450;1.43318799999999991;43.5995160000000013;Dressel 20;Toulouse;CCRASSISEMNI
38874;-5.08259900000000009;37.5422030000000007;Dressel 20;Écija;LIVNIMELISSI
952;12.483333;41.8999999999999986;Dressel 20;Roma;VIRG
11984;8.608962;49.4730709999999974;Dressel 20;Ladenburg (Lopodunum);QFC
7938;7.70230499999999996;48.5811050000000009;Dressel 20;Koenigshoffen;AVGN
18999;8.27909599999999912;49.9841880000000032;Dressel 20;Mainz;MIM
15279;12.483333;41.8999999999999986;Dressel 20;Roma;PNN
4538;12.483333;41.8999999999999986;Dressel 20;Roma;MCEAL
13203;-5.6669419999999997;37.6150579999999977;Dressel 20;Alcolea del Río;PNN
39518;3.1270509999999998;43.2896149999999977;Dressel 20;Nissan-Lez-Ensérune;SISEN
14853;6.45297099999999979;51.6587689999999995;Dressel 20;Xanten;PSAVITI
18195;4.35139000000000031;47.9160970000000006;Dressel 20;Vertault;ENNIORVMIVLIORVM
1037;12.483333;41.8999999999999986;Dressel 20;Roma;LIDFIT
38966;-5.08259900000000009;37.5422030000000007;Dressel 20;Écija;CORBEL
8039;7.54473799999999972;48.0411780000000022;Dressel 20;Biesheim;IV
8865;-5.55703200000000042;34.0736970000000028;Dressel 20;Volubilis;MPSPOR
24834;4.87345299999999959;45.5247850000000014;Dressel 20;Vienne;PHILO
17038;12.483333;41.8999999999999986;Dressel 20;Roma;CVVA
10883;-5.08259900000000009;37.5422030000000007;Dressel 20;Écija;MIM
14631;6.95000000000000018;50.9333329999999975;Dressel 20;Köln;QMR
3732;12.483333;41.8999999999999986;Dressel 20;Roma;FPAT
3197;12.483333;41.8999999999999986;Dressel 20;Roma;QMR
15281;12.483333;41.8999999999999986;Dressel 20;Roma;PNN
13266;-5.10725799999999985;37.8020530000000008;Dressel 20;Posadas;PM
1547;12.483333;41.8999999999999986;Dressel 20;Roma;BALF
29394;12.2833330000000007;41.75;Dressel 20;Ostia Antica;MHICA
5389;3.10437099999999999;42.5175940000000026;Dressel 20;Port-Vendres;PHILO
24856;4.87345299999999959;45.5247850000000014;Dressel 20;Vienne;SATVRNINI
1397;12.483333;41.8999999999999986;Dressel 20;Roma;ARAXIFM
24919;4.87345299999999959;45.5247850000000014;Dressel 20;Vienne;LVIBICHROMIS
11274;-5.52751000000000037;37.6589609999999979;Dressel 20;Lora del Río;NER
4294;12.483333;41.8999999999999986;Dressel 20;Roma;SOSVMAECOLONAKAVEGETIANO
1034;12.483333;41.8999999999999986;Dressel 20;Roma;LIDFIT
5293;3.10437099999999999;42.5175940000000026;Dressel 20;Port-Vendres;SISEN
1801;12.483333;41.8999999999999986;Dressel 20;Roma;CAS
7435;7.71720499999999987;47.5368179999999967;Dressel 20;Augst;TATILIASIATICI
24928;4.87345299999999959;45.5247850000000014;Dressel 20;Vienne;LVIBICHROMIS
20547;8.22084599999999988;47.4767560000000017;Dressel 20;Windisch;LAEL
25887;12.483333;41.8999999999999986;Dressel 20;Roma;CAMILISILVESTRI
27605;8.64583499999999994;50.1595480000000009;Dressel 20;Nida-Heddernheim;PEREGRINI
20283;4.828233;46.314073999999998;Dressel 20;Mâcon;CIALB
5994;12.483333;41.8999999999999986;Dressel 20;Roma;EQFA
12468;-5.28120800000000035;37.7002390000000034;Dressel 20;Palma del Río;AVRELIHERACLAE
24565;4.84671099999999999;45.7484570000000019;Dressel 20;Lyon?;CSEMPRONIPOLYCLITI
5973;12.483333;41.8999999999999986;Dressel 20;Roma;CALL
38924;-5.08259900000000009;37.5422030000000007;Dressel 20;Écija;CAMILIMELISSI
8853;-6.11581799999999998;34.6014399999999966;Dressel 20;Banasa;MIAPC
7550;7.71720499999999987;47.5368179999999967;Dressel 20;Augst;CMARISILVANI
2288;12.483333;41.8999999999999986;Dressel 20;Roma;MFF
24741;4.86136299999999988;45.5247370000000018;Dressel 20;Sainte-Colombe;CANTONIQVIETI
8249;3.69304100000000002;43.4062830000000019;Dressel 20;Sète;MIVC
13248;-5.6669419999999997;37.6150579999999977;Dressel 20;Alcolea del Río;PNN
16781;-1.63333299999999992;54.3666669999999996;Dressel 20;Catterick;IPSI
27872;8.16666700000000034;49.8333330000000032;Dressel 20;Rheinhessen;VIRGIN
18342;12.483333;41.8999999999999986;Dressel 20;Roma;ENNIORVMIVLIORVM
34146;4.38825800000000044;52.0690489999999997;Dressel 20;Voorburg;QPPHRYXI
2087;12.483333;41.8999999999999986;Dressel 20;Roma;TFA
12452;-5.28120800000000035;37.7002390000000034;Dressel 20;Palma del Río;FCFIVSFM
555;12.483333;41.8999999999999986;Dressel 20;Roma;PMOCVFIGEDO
413;12.483333;41.8999999999999986;Dressel 20;Roma;LFC
16926;-2.01666699999999999;54.9666670000000011;Dressel 20;Corbridge;FSCIMNIANO
