id;lat;long;type;site;code
1829;12.483333;41.8999999999999986;Dressel 20;Roma;PCIODICIILI
38940;-5.08259900000000009;37.5422030000000007;Dressel 20;Écija;IICAMILIMELISSI
25750;12.2833330000000007;41.75;Dressel 20;Ostia Antica;LAENTEISVRI
9337;6.86666699999999963;43.4333329999999975;Dressel 2-4 Catalan;Rade d'Agay;ACA
12557;4.25;39.8833330000000004;Dressel 1;Mahón;H
24066;-0.557868000000000031;38.1927299999999974;Almagro 51C;Santa Pola;DILALL
13516;-5.6669419999999997;37.6150579999999977;Dressel 20;Alcolea del Río;PNN
31710;14.483333;40.75;Amphora incerta;Pompeya;AYSIOES
37579;17.8500000000000014;40.6833329999999975;Brindisian amphora;Canale Giancola;DEMETRI
6506;36.1572249999999968;36.2065509999999975;Dressel 20;Antioch;GMMF
35135;17.8500000000000014;40.6833329999999975;Brindisian amphora;Canale Giancola;DIOCLES
9963;4.94285100000000011;43.3835430000000031;Dressel 1B;Golfe de Fos;ANT
17108;-0.0931450000000000056;51.514248000000002;Dressel 20;London;AMPPLPS
35227;17.8500000000000014;40.6833329999999975;Brindisian amphora;Canale Giancola;HERMAISCI
23834;4.94900099999999998;47.1368289999999988;Amphora incerta;Nuits-Saint-Georges;OIAEL
16895;-1.0833330000000001;53.9666670000000011;Dressel 20;York;FSCIMNIANO
15366;12.483333;41.8999999999999986;Dressel 20;Roma;LIL
570;12.483333;41.8999999999999986;Dressel 20;Roma;RAMVSPALMAE
24633;4.84671099999999999;45.7484570000000019;Dressel 20;Lyon?;SCALENSIAGEME
18723;-2.3333330000000001;54.9666670000000011;Dressel 20;Bardon Mill;APH
28110;12.2833330000000007;41.75;Dressel 20;Ostia Antica;P
15658;-0.0931450000000000056;51.514248000000002;Dressel 20;London;LATRV
35472;17.8500000000000014;40.6833329999999975;Brindisian amphora;Canale Giancola;SCOPAS
38966;-5.08259900000000009;37.5422030000000007;Dressel 20;Écija;CORBEL
40038;17.9333330000000011;40.6333330000000004;Brindisian amphora;Brindisi;BAHANO
27061;-1.42940700000000009;47.1990490000000023;Gauloise 4;Haute-Goulaine;CDV
29534;16.4558329999999984;43.5138889999999989;Dressel 20;Split;SCOROBRES
3068;12.483333;41.8999999999999986;Dressel 20;Roma;IICCLMM
23136;8.86666699999999963;44.8999999999999986;Dressel 6B;Tortona;ACRISPIN
6300;5.28892200000000035;43.261924999999998;Dressel 7-11;Cap Caveaux;LVOLTEILI
36298;2.00799400000000006;41.3961449999999971;Dressel 2-4 Catalan;Sant Vicenç dels Horts;GAM
6418;18.2653819999999989;47.7275190000000009;Dressel 20;Almásfüzitó;PMSP
297;12.483333;41.8999999999999986;Dressel 20;Roma;FCVCVM
20887;4.03214299999999959;46.9267800000000008;Dressel 1;Mont-Beuvray;AVRO
28511;3.359518;49.3797640000000015;Dressel 1A;Villeneuve-Saint-Germain;SIGNUM
36530;2.00799400000000006;41.3961449999999971;Dressel 2-4 Catalan;Sant Vicenç dels Horts;P
23767;-0.751789000000000041;37.8022419999999997;Lamboglia 2;San Pedro;TREB
30614;1.02194999999999991;49.280816999999999;Dressel 20;Caudebec-lès-Elbeuf;MEL
20549;7.04104200000000002;46.8808879999999988;Dressel 20;Avenches;LANNISECLANISEC
