id;name;x;y;province
99;Aldborough;-951822.032502968;6227503.90010229;Britannia
100;Chur;-374169.140891316;5253524.5141365;Raetia
101;Bonn;-479238.601452449;5713104.2009449;Germania Inferior
102;Florensac;-921210.35308014;4955167.75173721;Narbonensis
103;Butzbach;-374169.960931298;5659880.3504563;Germania Superior
104;Günzburg;-292240.014262625;5422776.99884679;Raetia
105;Hérault;-925548.690444053;4944223.99529104;Narbonensis
106;Fourvière;-758074.407741731;5196418.37315334;Lugdunensis
107;Sardegna;-575458.086551936;4490908.56801042;Corsica et Sardinia
108;Ribchester;-1035695.10426702;6221994.55355308;Britannia
109;Fort Vechten;-580992.321497448;5887227.90650933;Germania Inferior
110;Amiens;-838509.28860994;5697360.82226357;Belgica
111;Bad Cannstatt;-362525.889967835;5472909.37141251;Germania Superior
112;Edinburgh;-993335.657009426;6468286.27266607;Caledonia
113;Bishopbriggs;-1057437.86137986;6486603.90365619;Caledonia
114;Worms;-411571.708575673;5574996.93876985;Germania Superior
115;Walheim;-58689.7407150895;5688277.6187802;
116;Cap de Creus;-958638.936518974;4839186.48105521;Tarraconensis
117;Titelberg;-593230.38246345;5598614.42986598;Belgica
118;Croy;-1043368.48415957;6487283.0150624;Caledonia
119;Lattes;-881313.728297011;4968074.68669123;Narbonensis
120;South Shields;-921366.793713559;6326136.95249025;Britannia
121;Wroxeter;-1086155.86087837;6102062.58848629;Britannia
122;Newstead;-977451.949243476;6113705.91935717;Britannia
123;Etaples;-867047.267646626;5777458.78074488;Belgica
124;Windisch;-462125.147268262;5337858.92669794;Germania Superior
125;Trier;-532611.407177068;5611686.49801511;Belgica
126;Mainz-Kastel;-409856.374447268;5617683.65509329;Germania Superior
127;Tutbury;-1015803.00893567;6100275.84186947;Britannia
128;Shropshire, County of;-1092739.56495175;6104360.90503786;Britannia
129;Oberflorstadt;-361864.404548476;5645534.02118244;Germania Superior
130;Birrens;-1030500.64864933;6374268.34324808;Caledonia
131;Alzey;-426921.052879931;5590620.22851237;Germania Superior
132;Thonon-les-Bains;-617078.665554533;5225014.82454386;Narbonensis
133;Caerhûn;-1142035.38801882;6189248.68389295;Britannia
134;Hanau;-362561.32691464;5623858.11652286;Germania Superior
135;Boulogne-sur-Mer;-863480.893894455;5800540.97391836;Belgica
136;Groß-Gerau;-397282.299510888;5605440.03849431;Germania Superior
