id;name;x;y;province
99;Niederbieber;-384697.260119998;5643175.14251355;Germania Superior
100;St. Albans;-955595.339807476;5959109.64154238;Britannia
101;Los Barrios;-1905917.61861018;4347027.85386559;Baetica
102;Colchester;-876175.305477212;5941478.42952925;Britannia
103;Wasserbillig;-543461.472829624;5608101.07423055;Belgica
104;Caerleon;-1146543.75279093;5995036.12651936;Britannia
105;Campania;-80703.5392892085;4541265.36609771;Italia
106;Agde;-922220.482272064;4946998.48359386;Narbonensis
107;Este;-233891.435165354;5051575.64682896;Italia
108;Arles;-819575.716550027;4968506.84339518;Narbonensis
109;Wiesbaden;-410857.230934183;5626138.01525477;Germania Superior
110;Ljubljana (Emona);-1651.36161622172;5120675.00827321;Italia
111;Akoris;1461925.46758347;3156973.80593278;Aegyptus
112;Antibes;-620809.828136445;4917729.53982733;Narbonensis
113;Collioure;-973263.260828058;4866560.85322686;Narbonensis
114;Bourdeaux;-960662.376199971;5585740.33488914;Lugdunensis
115;Clermont-l'Hérault;-917987.17156083;4983115.16871679;Narbonensis
116;Badalona;-1069736.07970487;4761771.56669318;Tarraconensis
117;Orléans;-924043.435940068;5484756.71466925;Lugdunensis
118;Bishopbriggs;-1057437.86137986;6486603.90365619;Caledonia
119;Bazzano;-288410.452576565;4975474.66446589;Italia
120;Strasbourg;-472968.972905322;5467893.56574991;Germania Superior
121;Millau;-934727.098543339;5041594.05908084;Narbonensis
122;Mandeure;-568880.665403057;5353577.55336691;Germania Superior
123;Milano;-422301.645701222;5102975.21842755;Italia
124;Lisieux;-1009461.32027461;5655159.13023059;Lugdunensis
125;Cap du Dramont;-645729.205263754;4905136.0714961;Narbonensis
126;Choloy;-616145.283586946;5502280.27228604;Belgica
127;Nijmegen;-539777.65547751;5851583.40331866;Germania Inferior
128;Peniche;-2137094.19332024;4824136.85152046;Lusitania
129;Budapest;352026.792976894;5268160.78540421;Pannonia Inferior
130;Delo;877861.7552787;4146970.18809852;Achaia
131;Le Caylar;-921409.297016111;5011126.4729609;Narbonensis
132;Housesteads;-976846.213437393;6348805.48164578;Britannia
133;Modena;-302987.567560658;4977277.86928051;Italia
134;Poitiers;-1080805.8615119;5370433.84179591;Aquitania
135;Cartagena;-1452124.75367952;4397135.65286717;Tarraconensis
136;Lecce;260904.345524588;4474114.20314671;Italia
137;Rimini;-174356.663497864;4913491.13780038;Italia
138;Albinia;-301448.562629968;4751597.12113327;Italia
139;Regensburg;-148741.126898927;5469399.21845282;Raetia
140;Eye;-845746.474575521;5984035.5931986;Britannia
141;Parenzo (Porec);-81403.0496065444;5034787.74220501;Italia
142;Lucania;76245.914668952;4495279.44832093;Italia
143;Lisboa;-2142536.30216088;4742556.65076616;Lusitania
144;Sant Quirze del Vallès;-1081267.11198927;4774321.82974491;Tarraconensis
145;Peyrestortes;-986684.068986892;4896265.83630481;Narbonensis
146;Southwark;-955335.120889118;5919273.73475023;Britannia
147;Bavay;-721676.510052066;5714842.30009884;Belgica
148;Calahorra;-1396482.7197822;4946900.5911642;Tarraconensis
149;Pegognaga;-299962.220808676;5033318.87168372;Italia
150;Eynesse;-1147430.01332362;5179619.61529909;Aquitania
151;Steene;-803604.578814709;5811779.864853;Belgica
152;Dieulouard;-593843.86519669;5518288.20836012;Belgica
153;Oderzo;-161636.089356029;5104955.34449377;Italia
154;Chester;-1083293.76877323;6165894.85261533;Britannia
155;Finale Emilia;-268050.500459333;5010576.09401349;Italia
156;Saint-Marcel;-990361.536447914;5348613.50325219;Aquitania
157;Lazio;-145067.616708488;4645584.93006974;Italia
158;Fos-Sur-Mer;-799972.470426201;4936462.19883311;Narbonensis
159;Valencia;-1370641.54429225;4603331.77012747;Tarraconensis
160;La Unión;-1442022.18666598;4396330.71849281;Tarraconensis
161;Saint-Etienne-Roilaye;-802284.962861084;5624159.66030804;Belgica
162;Biesheim;-501857.132580865;5409126.80892363;Germania Superior
163;Lezhë;387286.117176116;4626640.32341537;Dalmatia
164;Saint Paulien;-850966.508531957;5143918.20501282;Aquitania
165;Ascoli;-107477.410220259;4771035.72401255;Italia
166;Îles Lavezzi;-483582.993933958;4643721.57298741;Corsica et Sardinia
167;Erice;-239266.445257543;4243104.33619344;Sicilia
168;Castelldefels;-1091274.22263834;4769897.70943279;Tarraconensis
169;Voorburg;-634554.882696414;5900064.06256503;Germania Inferior
170;Banasa;-2017700.18137408;4182958.28687812;Mauretania Tingitana
171;Fermo;-92308.5678394946;4803291.4087318;Italia
172;Vila-seca;-1171109.2836082;4745591.66539216;Tarraconensis
173;Masada;1874737.90357591;3712068.14639042;Iudaea
174;Cersot;-750592.359770907;5304813.20105814;Lugdunensis
175;Sea Mills;-1130507.59281524;5973691.4532889;Britannia
176;Old Kilpatrick;-1069729.52656975;6493477.9618953;Caledonia
177;Lincoln;-926993.142952562;6117472.83278893;Britannia
178;Salé (Sala);-2101407.232689;4138956.41491875;Mauretania Tingitana
179;Southend;-1166862.44797334;6458330.38200072;Caledonia
180;Arras;-793480.884151889;5731757.25666986;Belgica
181;Druten-Boldershof;-556441.87057805;5862191.65562761;Germania Inferior
182;Tanger (Tingi);-1946505.43346597;4308761.98020494;Mauretania Tingitana
183;Villeneuve-sur-Lot;-1116022.97867642;5121708.43515535;Aquitania
184;Fier;380345.554208051;4508270.24082316;Macedonia
185;Worms;-411571.708575673;5574996.93876985;Germania Superior
186;Cirencester;-1076201.6810463;5985621.38794828;Britannia
187;Cagliari;-280521.740195499;5185084.11917947;Raetia
188;Molay;-777107.982241469;5429524.12360857;Lugdunensis
189;Grand;-646762.55342218;5476506.59187768;Germania Superior
190;Cremona;-362542.950614623;5054759.90976443;Italia
191;Windisch;-462125.147268262;5337858.92669794;Germania Superior
192;Orlen;-413395.583948947;5637872.9357064;Germania Superior
193;Sandy;-948362.466508639;5990709.86665984;Britannia
194;Giglio Porto;-330649.70076896;4740012.01034023;Italia
195;Rouen;-939056.180158775;5669239.91002062;Lugdunensis
196;Boulogne-sur-Mer;-863480.893894455;5800540.97391836;Belgica
197;Rodez;-968842.709288324;5079081.53167762;Aquitania
198;Altenstadt;-357617.422937202;5640440.46108209;Germania Superior
199;Kastell Marienfels;-419781.280693783;5409600.67897651;Germania Superior
200;Hofheim;-407174.140727142;5577062.33258802;Germania Superior
