id;name;x;y;province
99;Stockstadt am Main;-354755.539387405;5604578.83609556;Germania Superior
100;Ladenburg (Lopodunum);-396564.854142407;5554272.65431498;Germania Superior
101;Bouc-Bel-Air;-761796.417509834;4930599.25659574;Narbonensis
102;Lisboa;-2142536.30216088;4742556.65076616;Lusitania
103;Hedelbergen;-364381.091630155;5635819.07704197;Germania Superior
104;Ancona;-105077.786027152;4858557.06838445;Italia
105;Azaila;-1304418.88405798;4800194.80649926;Tarraconensis
106;Bordeaux;-1204986.12063423;5197169.18136286;Aquitania
107;Arles;-819575.716550027;4968506.84339518;Narbonensis
108;Loughor;-1219225.95849582;6027004.36027018;Britannia
109;Köln;-485175.276326217;5737049.38507196;Germania Inferior
110;Toulon;-725840.728890798;4885321.68429482;Narbonensis
111;Rheinhessen;-421553.915554691;5599578.84723776;Germania Superior
112;Orlen;-413395.583948947;5637872.9357064;Germania Superior
113;Setla-Mirarrosa-Miraflor;-1328822.8637328;4515658.87938667;Tarraconensis
114;Provincia di Parma;-364913.273018378;5007939.29605297;Italia
115;Voorburg;-634554.882696414;5900064.06256503;Germania Inferior
116;Lacroix-Saint-Ouen;-818815.111242617;5628689.2344356;Belgica
117;Sidi Ali ben ahmed (Thamusida);-2062732.64243637;4162773.42140969;Mauretania Tingitana
118;Sicilia;-153235.062200414;4211479.35773142;Sicilia
119;Padova;-213255.361586905;5069825.09673237;Italia
120;Milano;-422301.645701222;5102975.21842755;Italia
121;Vigo;-1866528.3492466;5222588.82066076;Tarraconensis
122;Sant Pol de Mar;-1034126.70577018;4772020.281177;Tarraconensis
123;Wiesbaden;-410857.230934183;5626138.01525477;Germania Superior
124;Rouen;-1002546.47610761;5697606.17061451;Lugdunensis
125;Lincoln;-926993.142952562;6117472.83278893;Britannia
126;Grostenquin;-541668.995894048;5523851.24404331;Belgica
127;îles d'Hyères;-692653.089731849;4865929.26306997;Narbonensis
128;Valencia;-1370641.54429225;4603331.77012747;Tarraconensis
129;Benicarló;-1250793.41957027;4682657.84075623;Tarraconensis
130;Cirencester;-1076201.6810463;5985621.38794828;Britannia
131;Tortona;-457942.185853519;5043981.67891239;Italia
132;Ehl;-490040.892308821;5444743.62155062;Germania Superior
133;Ljubljana (Emona);-1651.36161622172;5120675.00827321;Italia
134;Orbetello;-304837.946031659;4746357.39079908;Italia
135;Angers;-1119515.66854045;5487450.16409711;Lugdunensis
136;Ardèche (Alba);-805456.529881032;5033151.03778156;Narbonensis
137;Antibes;-620809.828136445;4917729.53982733;Narbonensis
138;Imperia;-540580.682565582;4941150.02857513;Italia
139;Île de Porquerolles;-706238.442912149;4867845.60383004;Narbonensis
140;Ptuj;105803.100726842;5153670.10949637;Noricum
141;Livorno;-346099.069555325;4839712.30776414;Italia
142;Peyrestortes;-986684.068986892;4896265.83630481;Narbonensis
143;Hammamet;-432581.583805026;4078781.37476664;Africa Proconsularis
144;San Pedro;-1425659.29010458;4414207.09190867;Tarraconensis
145;Olonzac;-983399.056407747;4957276.15388793;Narbonensis
146;Astaffort;-1130187.39822003;5084756.02722944;Aquitania
147;Cabrera de Mar;-1055274.19702231;4767792.85229617;Tarraconensis
148;Bavay;-721676.510052066;5714842.30009884;Belgica
149;Abernethy;-985937.986230463;6512319.20159027;Caledonia
150;Bearsden;-1063737.17227391;6491121.01523214;Caledonia
151;Leicester;-987269.022203111;6064838.38817018;Britannia
152;Porto Azzurro;-367621.250788586;4789726.91243679;Italia
153;Rubí;-1086372.81688088;4770829.10745158;Tarraconensis
154;Baie de la Ciotat;-748591.60850789;4895185.31162863;Narbonensis
155;Niederbieber;-384697.260119998;5643175.14251355;Germania Superior
156;La Croix-Valmer;-673121.183948151;4886192.23048959;Narbonensis
157;Nida-Heddernheim;-381185.065723489;5629835.17231189;Germania Superior
158;Cartagena;-1449939.63319031;4391996.59707463;Tarraconensis
