idSite;numCodes
0;27
1;47
2;142
3;5
4;34
5;3
6;17
7;51
8;13
9;1
10;52
11;2
12;4
13;11
14;4
15;12
16;59
17;26
18;7
19;12
20;1
21;1
22;1
23;1
24;2
25;2
26;1
27;2
28;3
29;1
30;2
31;1
32;1
33;19
34;1
35;1
36;8
37;1
38;1
39;3
40;1
41;78
42;74
43;4
44;228
45;79
46;2
47;2
48;107
49;4
50;3
51;14
52;1
53;9
54;1
55;1
56;14
57;12
58;2
59;19
60;1
61;13
62;68
63;6
64;1
65;26
66;4
67;20
68;5
69;2
70;6
71;2
72;5
73;22
74;1
75;3
76;1
77;2
78;1
79;3
80;3
81;3
82;1
83;6
84;2
85;1
86;1
87;1
88;3
89;1
90;1
91;2
92;2
93;2
94;1
95;1
96;5
97;1
98;5
99;1
100;2
101;1
102;2
103;3
104;1
105;1
106;1
107;2
108;3
109;3
110;1
111;1
112;1
113;1
114;1
115;9
116;16
117;3
118;2
119;11
120;56
121;67
122;206
123;103
124;15
125;28
126;28
127;4
128;58
129;5
130;1
131;93
132;13
133;1
134;41
135;19
136;35
137;1
138;16
139;34
140;5
141;105
142;62
143;17
144;82
145;4
146;13
147;19
148;33
149;4
150;1
151;17
152;3
153;11
154;7
155;2
156;3
157;2
158;13
159;2
160;7
161;2
162;16
163;8
164;2
165;20
166;2
167;2
168;4
169;1
170;1
171;8
172;7
173;2
174;8
175;3
176;3
177;1
178;1
179;3
180;3
181;1
182;3
183;12
184;1
185;7
186;10
187;6
188;4
189;9
190;1
191;3
192;1
193;4
194;4
195;9
196;2
197;5
198;7
199;1
200;1
201;1
202;5
203;1
204;1
205;1
206;1
207;1
208;2
209;2
210;1
211;1
212;3
213;4
214;1
215;1
216;2
217;1
218;2
219;1
220;1
221;1
222;1
223;1
224;1
225;1
226;1
227;1
228;1
229;1
230;1
231;1
232;1
233;3
234;1
235;1
236;2
237;5
238;1
239;1
240;1
241;1
242;1
243;1
244;1
245;1
246;3
247;1
248;3
249;1
250;1
251;1
252;2
253;1
254;1
255;1
256;2
257;161
258;3
259;1
260;2
261;1
262;1
263;1
264;1
265;1
266;1
267;2
268;1
269;1
270;1
271;1
272;1
273;1
274;1
275;1
276;1
277;1
278;1
279;12
280;171
281;65
282;2
283;1
284;1
285;2
286;2
287;18
288;1
289;9
290;7
291;221
292;2
293;37
294;56
295;7
296;52
297;7
298;31
299;8
300;5
301;2
302;1
303;14
304;51
305;1
306;1
307;42
308;10
309;58
310;11
311;4
312;95
313;24
314;48
315;7
316;37
317;5
318;1
319;15
320;1
321;1
322;2
323;3
324;1
325;1
326;1
327;5
328;2
329;4
330;6
331;7
332;9
333;1
334;2
335;1
336;1
337;1
338;6
339;3
340;3
341;1
342;1
343;1
344;1
345;3
346;1
347;1
348;40
349;7
350;16
351;17
352;1
353;3
354;1
355;1
356;2
357;3
358;1
359;2
360;5
361;1
362;4
363;1
364;2
365;5
366;5
367;73
368;3
369;1
370;2
371;3
372;2
373;1
374;10
375;6
376;1
377;4
378;1
379;1
380;1
381;1
382;2
383;1
384;1
385;8
386;2
387;2
388;8
389;1
390;19
391;1
392;1
393;1
394;1
395;4
396;1
397;1
398;2
399;2
400;1
401;1
402;2
403;14
404;9
405;2
406;2
407;1
408;1
409;4
410;8
411;1
412;4
413;1
414;19
415;1
416;5
417;3
418;10
419;17
420;4
421;14
422;1
423;30
424;3
425;7
426;7
427;8
428;1
429;3
430;1
431;94
432;1
433;1
434;3
435;2
436;4
437;29
438;4
439;1
440;1
441;5
442;1
443;1
444;1
445;2
446;7
447;3
448;38
449;1
450;9
451;4
452;53
453;1
454;3
455;2
456;3
457;19
458;2
459;5
460;5
461;1
462;1
463;3
464;1
465;6
466;1
467;3
468;2
469;1
470;1
471;3
472;1
473;1
474;1
475;4
476;1
477;1
478;1
479;2
480;1
481;1
482;1
483;1
484;1
485;11
486;64
487;3
488;46
489;1
490;1
491;7
492;2
493;3
494;7
495;1
496;1
497;2
498;1
499;1
500;3
501;3
502;3
503;1
504;7
505;3
506;3
507;2
508;49
509;1
510;1
511;2
512;2
513;1
514;22
515;1
516;1
517;1
518;6
519;1
520;10
521;1
522;1
523;1
524;1
525;1
526;1
527;1
528;1
529;7
530;1
531;37
532;8
533;3
534;63
535;4
536;16
537;5
538;7
539;1
540;4
541;3
542;1
543;1
544;1
545;4
546;2
547;1
548;2
549;1
550;2
551;1
552;1
553;1
554;1
555;9
556;1
557;13
558;1
559;1
560;1
561;2
562;2
563;1
564;1
565;1
566;1
567;1
568;2
569;2
570;3
571;2
572;2
573;1
574;10
575;1
576;1
577;1
578;1
579;1
580;1
581;13
582;5
583;1
584;1
585;4
586;5
587;1
588;1
589;1
590;167
591;1
592;1
593;2
594;4
595;2
596;2
597;2
598;1
599;1
600;1
601;2
602;1
603;1
604;1
605;1
606;1
607;1
608;1
609;1
610;2
611;1
612;2
613;1
614;3
615;1
616;1
617;1
618;1
619;1
620;1
621;4
622;1
623;1
624;1
625;10
626;3
627;1
628;2
629;1
630;67
631;3
632;2
633;3
634;1
635;1
636;1
637;1
638;1
639;22
640;14
641;8
642;4
643;13
644;29
645;23
646;22
647;1
648;1
649;4
650;2
651;4
652;1
653;2
654;1
655;2
656;1
657;1
658;1
659;1
660;1
661;2
662;1
663;2
664;1
665;1
666;2
667;1
668;1
669;1
670;2
671;1
672;1
673;2
674;1
675;1
676;1
677;5
678;1
679;10
680;1
681;3
682;15
683;51
684;5
685;17
686;1
687;18
688;2
