X;Y;id;lat;long;type;site;code;name;COUNT
-955534.176698202;5921032.25118975;15474;-0.093145000000000;51.514248000000002;Dressel 20;London;PAR;Britannia;1
-1981744.8567853;4107083.95851789;8848;-5.557032000000000;34.073697000000003;Dressel 20;Volubilis;MAR;Mauretania Tingitana;1
-1064829.23760549;4491345.3112758;18188;2.949407000000000;39.144609000000003;Dressel 20;Isla de Cabrera;PNN;Tarraconensis;1
-1080282.31246224;5017282.64795687;15035;1.433188000000000;43.599516000000001;Dressel 20;Toulouse;MAR;Narbonensis;1
-966491.801529943;4950736.93238566;8240;2.946145000000000;43.259528000000003;Dressel 20;Sallèles;CMS;Narbonensis;1
-978749.816941154;6343418.25156511;18723;-2.333333000000000;54.966667000000001;Dressel 20;Bardon Mill;APH;Britannia;1
-948082.257820173;5653686.91376687;30614;1.021950000000000;49.280816999999999;Dressel 20;Caudebec-lès-Elbeuf;MEL;Lugdunensis;1
-801415.473039121;4930388.13719504;10110;4.942851000000000;43.383543000000003;Dressel 20;Golfe de Fos;CFO;Narbonensis;1
-1981744.8567853;4107083.95851789;8850;-5.557032000000000;34.073697000000003;Dressel 20;Volubilis;MEE;Mauretania Tingitana;1
-978749.816941154;6343418.25156511;18730;-2.333333000000000;54.966667000000001;Dressel 20;Bardon Mill;QSP;Britannia;1
-838407.36197678;4989987.83476454;39399;4.359623000000000;43.833778000000002;Dressel 20;Nîmes;QCC;Narbonensis;1
-979826.647826815;4822915.54316754;17506;3.117809000000000;42.139543000000003;Dressel 20;Ampurias;APN;Tarraconensis;1
-691685.887607956;5114642.70749281;39501;5.833333000000000;45.166666999999997;Dressel 20;Isère;MIM;Narbonensis;1
-838407.36197678;4989987.83476454;39411;4.359623000000000;43.833778000000002;Dressel 20;Nîmes;QCP;Narbonensis;1
-1383717.62069951;4469340.82399089;24031;-0.450000000000000;38.350000000000001;Dressel 20;Alicante;QSP;Tarraconensis;1
-225025.730008559;4658894.83827206;25832;12.283333000000001;41.750000000000000;Dressel 20;Ostia Antica;BEL;Italia;1
-955595.339807476;5959109.64154238;16347;-0.250000000000000;51.833333000000003;Dressel 20;St. Albans;LMA;Britannia;1
-1146543.75279093;5995036.12651936;16526;-2.958889000000000;51.613332999999997;Dressel 20;Caerleon;COI;Britannia;1
-922220.482272064;4946998.48359386;8448;3.475340000000000;43.310991000000001;Dressel 20;Agde;SNR;Narbonensis;1
-1146543.75279093;5995036.12651936;15998;-2.958889000000000;51.613332999999997;Dressel 20;Caerleon;SFE;Britannia;1
-379275.935695407;5624503.54261325;14465;8.684167000000000;50.115519999999997;Dressel 20;Frankfurt am Main;MIM;Germania Superior;1
-498816.986459172;5350972.71357136;7597;7.717205000000000;47.536817999999997;Dressel 20;Augst;QSD;Germania Superior;1
-568880.665403057;5353577.55336691;8762;6.807625000000000;47.449210999999998;Dressel 20;Mandeure;QMR;Germania Superior;1
-225025.730008559;4658894.83827206;25682;12.283333000000001;41.750000000000000;Dressel 20;Ostia Antica;CAP;Italia;1
-727018.271474666;5189667.212828;39496;5.215267000000000;45.756965999999998;Dressel 20;Saint-Romain-de-Jalionas;MIM;Narbonensis;1
-539777.65547751;5851583.40331866;5650;5.866667000000000;51.833333000000003;Dressel 20;Nijmegen;LIT;Germania Inferior;1
-865236.498132087;5867415.45833038;17199;1.333333000000000;51.283332999999999;Dressel 20;Edinburgh;LAR;Britannia;1
-755826.511770254;5194589.90619483;24622;4.846711000000000;45.748457000000002;Dressel 20;Lyon?;QSP;Lugdunensis;1
-978749.816941154;6343418.25156511;33390;-2.333333000000000;54.966667000000001;Dressel 20;Bardon Mill;LQA;Britannia;1
