0;10901;Dressel 20;Écija;Spain;37.5422030000000007;-5.08259900000000009;LFCCVCAT
1;15474;Dressel 20;London;United Kingdom;51.514248000000002;-0.0931450000000000056;PAR
2;37233;Dolium;Isola di Giannutri;Italy;42.25;11.0999999999999996;CASSIUS FECIT
3;24546;Dressel 20;Lyon?;France;45.7484570000000019;4.84671099999999999;AFRICANI
4;41029;Brindisian amphora;Brindisi;Italy;40.6333330000000004;17.9333330000000011;ANINIANA
5;25204;Dressel 20;Rebecques;France;50.6455860000000015;2.306759;SCALENSIA
6;18497;Dressel 2-4 Italian;Île de Porquerolles;France;42.9966879999999989;6.21203000000000038;MLIVICAVS…
7;28539;Dressel 20;Roma;Italy;41.8999999999999986;12.483333;CAP
8;23668;Lamboglia 2;San Pedro;Spain;37.8022419999999997;-0.751789000000000041;NICIA
9;9043;Pascual 1;Narbonne;France;43.1844170000000034;3.00881599999999993;PA...
10;218;Dressel 20;Roma;Italy;41.8999999999999986;12.483333;ASVL
11;12692;Dressel 20;Bregenz;Austria;47.5;9.76666699999999999;ROMANI
12;10799;Pascual 1;Narbonne;France;43.1844170000000034;3.00881599999999993;QFS
13;3760;Dressel 20;Roma;Italy;41.8999999999999986;12.483333;POLYCLI
14;7183;Dressel 20;Lora del Río;Spain;37.6589609999999979;-5.52751000000000037;LIT
15;1265;Dressel 20;Roma;Italy;41.8999999999999986;12.483333;CAEI & CAEL
16;31743;Dressel 20;Kempten;Germany;47.7322089999999974;10.3158580000000004;PHILOC
17;36633;Dressel 2-4 Catalan;Sant Vicenç dels Horts;Spain;41.3961449999999971;2.00799400000000006;THE
18;35119;Brindisian amphora;Canale Giancola;Italy;40.6833329999999975;17.8500000000000014;DIOCLES
19;8848;Dressel 20;Volubilis;Morokko;34.0736970000000028;-5.55703200000000042;MAR
20;12002;Dressel 20;Bad Wimpfen;Germany;49.2297080000000022;9.15648499999999999;PNNSH
21;38875;Dressel 20;Écija;Spain;37.5422030000000007;-5.08259900000000009;IIIVNMELISSIETMELISSE ((HEDERA))
22;3729;Dressel 20;Roma;Italy;41.8999999999999986;12.483333;FPAT
23;25670;Dressel 20;Roma;Italy;41.8999999999999986;12.483333;LAL
24;18188;Dressel 20;Isla de Cabrera;Spain;39.1446090000000027;2.94940699999999989;PNN
25;36033;Amphora incerta;Santiponce;Spain;37.4339530000000025;-6.04184300000000007;FANV
26;36656;Pascual 1;Sant Vicenç dels Horts;Spain;41.3961449999999971;2.00799400000000006;signum
27;15590;Dressel 20;Edinburgh;United Kingdom;51.2833329999999989;1.3333330000000001;CANTONIQVIET...
28;12753;Gauloise 4;Monrealer Wald;Germany;50.2843930000000015;7.14111899999999977;CDA
29;18930;Dressel 20;Mainz;Germany;49.9841880000000032;8.27909599999999912;AVG...N
30;19423;Dressel 2-4 Catalan;Cartago;Tunisia;36.8666669999999996;10.3333329999999997;OPT
31;21187;Dressel 1;Alise-Sainte-Reine;France;47.5378540000000029;4.48594999999999988;NEVVEE? & NEVVELE?
32;28794;Dressel 20;Roma;Italy;41.8999999999999986;12.483333;CONSFC
33;17437;Dressel 20;Lyon?;France;45.7484570000000019;4.84671099999999999;POLYCLIT
