idreq;amphId;amphTypeName;fplmunName;fplcouName;lat;lon;transcription;family
52;10117;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"CSEMPOL";"CSEMPRONIPOLYCLITI"
53;10118;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"CSEMPOL";"CSEMPRONIPOLYCLITI"
54;10119;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"CSPOLYCLITI";"CSEMPRONIPOLYCLITI"
55;1012;"Dressel 20";"Roma";"Italy";41.8851022907896891;12.4607464157529453;"LIDFITAL";"LIDFIT"
56;10120;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"POLYCLITI";"CSEMPRONIPOLYCLITI"
57;10121;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"CSEMPPOLYCLITI";"CSEMPRONIPOLYCLITI"
58;10122;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"CSEMPPOLYCLITI";"CSEMPRONIPOLYCLITI"
59;10123;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"CSEM...";"CSEMPRONIPOLYCLITI"
60;10124;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"POLYCLITI";"CSEMPRONIPOLYCLITI"
61;10125;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"POLYCLITI";"CSEMPRONIPOLYCLITI"
62;10126;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"CSEMPPO";"CSEMPRONIPOLYCLITI"
63;10127;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"CSEMP...";"CSEMPRONIPOLYCLITI"
64;10128;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"CVVA";"CVVA"
65;10129;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"CVVA";"CVVA"
66;1013;"Dressel 20";"Roma";"Italy";41.8851022907896891;12.4607464157529453;"LIDFITAL";"LIDFIT"
