X;Y;id;lat;long;type;site;code;name;COUNT;locType
-955534.176698202;5921032.25118975;15474;-0.093145000000000;51.514248000000002;Dressel 20;London;PAR;Britannia;1;other
-865236.498132087;5867415.45833038;15590;1.333333000000000;51.283332999999999;Dressel 20;Edinburgh;CANTONIQVIET;Britannia;1;other
-1025696.772362;5861141.41927802;16277;-0.783333000000000;50.833333000000003;Dressel 20;Chicester;ISSI;Britannia;1;other
-955534.176698202;5921032.25118975;17108;-0.093145000000000;51.514248000000002;Dressel 20;London;AMPPLPS;Britannia;1;other
-936866.068451985;6208531.92561426;16895;-1.083333000000000;53.966667000000001;Dressel 20;York;FSCIMNIANO;Britannia;1;other
-978749.816941154;6343418.25156511;18723;-2.333333000000000;54.966667000000001;Dressel 20;Bardon Mill;APH;Britannia;1;Hadrian Wall
-955534.176698202;5921032.25118975;15658;-0.093145000000000;51.514248000000002;Dressel 20;London;LATRV;Britannia;1;other
-1025329.69888547;6486477.8300989;17155;-3.766667000000000;56.000000000000000;Dressel 20;Falkirk;Q;Caledonia;1;Antonine Wall
-1046764.55943348;6217801.38446881;17018;-2.666667000000000;53.733333000000002;Dressel 20;Walton le Dale;FVCRM;Britannia;1;other
-985937.986230463;6512319.20159027;17147;-3.333333000000000;56.333333000000003;Dressel 20;Abernethy;PQ;Caledonia;1;Antonine Wall
-978749.816941154;6343418.25156511;18730;-2.333333000000000;54.966667000000001;Dressel 20;Bardon Mill;QSP;Britannia;1;Hadrian Wall
-1040632.55535968;6449417.56979681;15804;-3.783333000000000;55.649999999999999;Dressel 20;Lanark;MMCS;Caledonia;1;Antonine Wall
-1019166.01774611;6347771.26986266;16169;-2.933333000000000;54.883333000000000;Dressel 20;Carlisle;QIMF;Britannia;1;Hadrian Wall
-1086155.86087837;6102062.58848629;16446;-2.650000000000000;52.666666999999997;Dressel 20;Wroxeter;GNACGNAC;Britannia;1;other
-955595.339807476;5959109.64154238;16347;-0.250000000000000;51.833333000000003;Dressel 20;St. Albans;LMA;Britannia;1;other
-1146543.75279093;5995036.12651936;16526;-2.958889000000000;51.613332999999997;Dressel 20;Caerleon;COI;Britannia;1;other
-1146543.75279093;5995036.12651936;15998;-2.958889000000000;51.613332999999997;Dressel 20;Caerleon;SFE;Britannia;1;other
-1057437.86137986;6486603.90365619;15778;-4.233333000000000;55.899999999999999;Dressel 20;Bishopbriggs;MCPRI;Caledonia;1;Antonine Wall
-955534.176698202;5921032.25118975;16134;-0.093145000000000;51.514248000000002;Dressel 20;London;MI;Britannia;1;other
-955534.176698202;5921032.25118975;15717;-0.093145000000000;51.514248000000002;Dressel 20;London;QC;Britannia;1;other
-865236.498132087;5867415.45833038;16869;1.333333000000000;51.283332999999999;Dressel 20;Edinburgh;SCALENSIA;Britannia;1;other
-865236.498132087;5867415.45833038;17199;1.333333000000000;51.283332999999999;Dressel 20;Edinburgh;LAR;Britannia;1;other
-955595.339807476;5959109.64154238;16783;-0.250000000000000;51.833333000000003;Dressel 20;St. Albans;MS;Britannia;1;other
-976846.213437393;6348805.48164578;16931;-2.333333000000000;55.016666999999998;Dressel 20;Housesteads;FSCIMNIANO;Britannia;1;Hadrian Wall
-955595.339807476;5959109.64154238;15977;-0.250000000000000;51.833333000000003;Dressel 20;St. Albans;LFCESCCVFP;Britannia;1;other
-955534.176698202;5921032.25118975;16948;-0.093145000000000;51.514248000000002;Dressel 20;London;CSEMPOL;Britannia;1;other
-845746.474575521;5984035.5931986;15917;1.150000000000000;52.316667000000002;Dressel 20;Eye;IIIENNIIVL;Britannia;1;other
-978749.816941154;6343418.25156511;33390;-2.333333000000000;54.966667000000001;Dressel 20;Bardon Mill;LQA;Britannia;1;Hadrian Wall
-955335.120889118;5919273.73475023;16142;-0.083333000000000;51.500000000000000;Dressel 20;Southwark;MIM;Britannia;1;other
-955534.176698202;5921032.25118975;16144;-0.093145000000000;51.514248000000002;Dressel 20;London;MIM;Britannia;1;other
-1083293.76877323;6165894.85261533;16992;-2.916667000000000;53.200000000000003;Dressel 20;Chester;STATIANIENSIA;Britannia;1;other
-955534.176698202;5921032.25118975;16939;-0.093145000000000;51.514248000000002;Dressel 20;London;LSELSENC;Britannia;1;other
-955534.176698202;5921032.25118975;16628;-0.093145000000000;51.514248000000002;Dressel 20;London;PONTICI;Britannia;1;other
-865236.498132087;5867415.45833038;15576;1.333333000000000;51.283332999999999;Dressel 20;Edinburgh;CANTONGANTON;Britannia;1;other
-1130507.59281524;5973691.4532889;16072;-2.650000000000000;51.483333000000002;Dressel 20;Sea Mills;HISPSAENI;Britannia;1;other
-1069729.52656975;6493477.9618953;16779;-4.450000000000000;55.916666999999997;Dressel 20;Old Kilpatrick;LSPBOER;Caledonia;1;Antonine Wall
-926993.142952562;6117472.83278893;17156;-0.533333000000000;53.233333000000002;Dressel 20;Lincoln;Q;Britannia;1;other
-1083293.76877323;6165894.85261533;16798;-2.916667000000000;53.200000000000003;Dressel 20;Chester;QSP;Britannia;1;other
-955534.176698202;5921032.25118975;15413;-0.093145000000000;51.514248000000002;Dressel 20;London;PORTPAH;Britannia;1;other
-1166862.44797334;6458330.38200072;16989;-5.633333000000000;55.316667000000002;Dressel 20;Southend;SILVESTRI;Caledonia;1;Antonine Wall
-1076201.6810463;5985621.38794828;16919;-1.983333000000000;51.733333000000002;Dressel 20;Cirencester;FSCIMNIANO;Britannia;1;other
-948362.466508639;5990709.86665984;15620;-0.283333000000000;52.116667000000000;Dressel 20;Sandy;PORLATPA;Britannia;1;other
-955534.176698202;5921032.25118975;16708;-0.093145000000000;51.514248000000002;Dressel 20;London;ROMANIROMNI;Britannia;1;other
-984974.702031385;6463151.13379174;15425;-3.050000000000000;55.933332999999998;Dressel 20;Musselburgh;LAL;Caledonia;1;Antonine Wall
-978749.816941154;6343418.25156511;33389;-2.333333000000000;54.966667000000001;Dressel 20;Bardon Mill;LAFP;Britannia;1;Hadrian Wall
-1143533.7461897;6104126.71403034;17207;-3.433333000000000;52.516666999999998;Dressel 20;Caersws;O;Britannia;1;other
-955534.176698202;5921032.25118975;16429;-0.093145000000000;51.514248000000002;Dressel 20;London;MAVRI;Britannia;1;other
-1056206.19754392;5892734.20401508;16399;-1.316667000000000;51.016666999999998;Dressel 20;Winchester;QMS;Britannia;1;other
-1019166.01774611;6347771.26986266;32256;-2.933333000000000;54.883333000000000;Dressel 20;Carlisle;QFG;Britannia;1;Hadrian Wall
-978749.816941154;6343418.25156511;15505;-2.333333000000000;54.966667000000001;Dressel 20;Bardon Mill;ACIRGI;Britannia;1;Hadrian Wall
-959109.411125592;6336532.95218347;15398;-2.016667000000000;54.966667000000001;Dressel 20;Corbridge;GAF;Britannia;1;Hadrian Wall
-993335.657009426;6468286.27266607;16915;-3.200000000000000;55.950000000000003;Dressel 20;Edinburgh;FSCIMNIANO;Caledonia;1;Antonine Wall
-987269.022203111;6064838.38817018;15969;-1.133333000000000;52.633333000000000;Dressel 20;Leicester;LFCF;Britannia;1;other
-987269.022203111;6064838.38817018;16756;-1.133333000000000;52.633333000000000;Dressel 20;Leicester;PORQSR;Britannia;1;other
